Frame: 21, ID: 8 Class: bird, Coor: 2137,1863,2158,1888
Frame: 21, ID: 9 Class: car, Coor: 2196,1880,2216,1907
Frame: 21, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 21, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 21, ID: 29 Class: car, Coor: 3226,1856,3385,1980
Frame: 22, ID: 4 Class: bird, Coor: 2490,1307,2598,1426
Frame: 22, ID: 5 Class: bird, Coor: 2148,1299,2318,1424
Frame: 22, ID: 8 Class: bird, Coor: 2138,1863,2157,1888
Frame: 22, ID: 9 Class: car, Coor: 2197,1880,2216,1907
Frame: 22, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 22, ID: 16 Class: car, Coor: 2078,1845,2099,1871
Frame: 22, ID: 17 Class: car, Coor: 2018,1827,2041,1855
Frame: 22, ID: 29 Class: car, Coor: 3223,1854,3386,1981
Frame: 22, ID: 31 Class: clock, Coor: 2654,1474,2816,1622
Frame: 23, ID: 4 Class: bird, Coor: 2490,1307,2598,1426
Frame: 23, ID: 5 Class: bird, Coor: 2151,1296,2321,1423
Frame: 23, ID: 8 Class: bird, Coor: 2138,1863,2157,1888
Frame: 23, ID: 9 Class: car, Coor: 2196,1880,2216,1907
Frame: 23, ID: 10 Class: clock, Coor: 2382,1879,2439,1944
Frame: 23, ID: 16 Class: car, Coor: 2078,1845,2099,1871
Frame: 23, ID: 17 Class: car, Coor: 2018,1827,2040,1855
Frame: 23, ID: 29 Class: car, Coor: 3220,1853,3383,1981
Frame: 23, ID: 31 Class: clock, Coor: 2654,1474,2815,1622
Frame: 24, ID: 2 Class: bird, Coor: 2341,1135,2469,1261
Frame: 24, ID: 4 Class: bird, Coor: 2491,1307,2598,1426
Frame: 24, ID: 5 Class: bird, Coor: 2154,1294,2324,1421
Frame: 24, ID: 8 Class: bird, Coor: 2138,1863,2157,1888
Frame: 24, ID: 9 Class: car, Coor: 2197,1880,2216,1907
Frame: 24, ID: 10 Class: clock, Coor: 2382,1879,2439,1944
Frame: 24, ID: 16 Class: car, Coor: 2078,1845,2099,1871
Frame: 24, ID: 17 Class: car, Coor: 2018,1827,2040,1855
Frame: 24, ID: 29 Class: car, Coor: 3217,1852,3382,1981
Frame: 24, ID: 31 Class: clock, Coor: 2654,1474,2816,1622
Frame: 25, ID: 2 Class: bird, Coor: 2345,1133,2472,1257
Frame: 25, ID: 4 Class: bird, Coor: 2490,1307,2598,1426
Frame: 25, ID: 5 Class: bird, Coor: 2157,1292,2326,1419
Frame: 25, ID: 8 Class: bird, Coor: 2138,1864,2157,1888
Frame: 25, ID: 9 Class: car, Coor: 2197,1880,2216,1907
Frame: 25, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 25, ID: 16 Class: car, Coor: 2078,1845,2099,1871
Frame: 25, ID: 31 Class: clock, Coor: 2654,1474,2816,1622
Frame: 25, ID: 34 Class: bird, Coor: 1893,1400,2060,1534
Frame: 26, ID: 2 Class: bird, Coor: 2348,1130,2474,1254
Frame: 26, ID: 4 Class: bird, Coor: 2490,1307,2598,1426
Frame: 26, ID: 5 Class: bird, Coor: 2160,1290,2329,1418
Frame: 26, ID: 10 Class: clock, Coor: 2382,1879,2438,1944
Frame: 26, ID: 31 Class: clock, Coor: 2654,1475,2815,1621
Frame: 26, ID: 34 Class: bird, Coor: 1896,1401,2064,1535
Frame: 26, ID: 35 Class: bird, Coor: 2753,673,2896,772
Frame: 27, ID: 2 Class: bird, Coor: 2350,1128,2476,1252
Frame: 27, ID: 3 Class: bird, Coor: 3424,1322,3497,1399
Frame: 27, ID: 4 Class: bird, Coor: 2490,1307,2598,1427
Frame: 27, ID: 5 Class: bird, Coor: 2162,1288,2330,1416
Frame: 27, ID: 10 Class: clock, Coor: 2382,1879,2438,1943
Frame: 27, ID: 31 Class: clock, Coor: 2654,1474,2815,1621
Frame: 27, ID: 34 Class: bird, Coor: 1903,1404,2071,1537
Frame: 27, ID: 35 Class: bird, Coor: 2753,674,2896,772
Frame: 27, ID: 36 Class: car, Coor: 2940,1712,3126,1799
Frame: 28, ID: 2 Class: bird, Coor: 2352,1126,2478,1249
