Frame: 23, Class: car, Coor: 2157,1296,2317,1423
Frame: 24, Class: car, Coor: 2382,1880,2439,1945
Frame: 24, Class: car, Coor: 2198,1881,2216,1907
Frame: 24, Class: car, Coor: 2138,1864,2158,1889
Frame: 24, Class: car, Coor: 2080,1846,2098,1872
Frame: 24, Class: car, Coor: 2654,1474,2817,1622
Frame: 24, Class: bird, Coor: 1887,1401,2062,1532
Frame: 24, Class: bird, Coor: 2491,1308,2599,1427
Frame: 24, Class: bird, Coor: 2159,1294,2320,1421
Frame: 24, Class: car, Coor: 2343,1135,2468,1261
Frame: 24, Class: bird, Coor: 2753,673,2897,772
Frame: 25, Class: car, Coor: 2382,1880,2439,1944
Frame: 25, Class: car, Coor: 2944,1714,3126,1800
Frame: 25, Class: car, Coor: 2653,1475,2818,1622
Frame: 25, Class: car, Coor: 1889,1400,2066,1535
Frame: 25, Class: car, Coor: 2490,1308,2598,1427
Frame: 25, Class: car, Coor: 2162,1292,2322,1419
Frame: 25, Class: car, Coor: 2347,1134,2472,1257
Frame: 25, Class: bird, Coor: 2753,673,2897,772
Frame: 26, Class: car, Coor: 3760,2052,3839,2154
Frame: 26, Class: car, Coor: 2382,1880,2439,1944
Frame: 26, Class: car, Coor: 2941,1713,3126,1800
Frame: 26, Class: car, Coor: 2715,1648,2749,1693
Frame: 26, Class: car, Coor: 2653,1475,2817,1621
Frame: 26, Class: person, Coor: 1888,1402,2074,1536
Frame: 26, Class: car, Coor: 2491,1308,2598,1427
Frame: 26, Class: bird, Coor: 2166,1290,2324,1418
Frame: 26, Class: car, Coor: 2348,1130,2475,1254
Frame: 26, Class: car, Coor: 2754,674,2896,772
Frame: 27, Class: car, Coor: 3760,2051,3839,2152
Frame: 27, Class: car, Coor: 2382,1880,2439,1944
Frame: 27, Class: person, Coor: 2940,1712,3127,1800
Frame: 27, Class: car, Coor: 2714,1648,2750,1693
Frame: 27, Class: car, Coor: 2653,1474,2817,1622
Frame: 27, Class: clock, Coor: 1899,1405,2079,1538
Frame: 27, Class: bird, Coor: 2491,1307,2598,1428
Frame: 27, Class: car, Coor: 2167,1289,2326,1417
Frame: 27, Class: car, Coor: 3425,1323,3497,1399
Frame: 27, Class: car, Coor: 2351,1129,2476,1252
Frame: 28, Class: car, Coor: 3759,2052,3840,2153
Frame: 28, Class: car, Coor: 2382,1880,2439,1944
Frame: 28, Class: car, Coor: 2198,1882,2217,1907
Frame: 28, Class: car, Coor: 2139,1864,2158,1889
Frame: 28, Class: car, Coor: 2080,1846,2098,1873
Frame: 28, Class: clock, Coor: 2656,1474,2817,1621
Frame: 28, Class: bird, Coor: 1906,1406,2085,1539
